,broad_zone,place,mean_lot_size,median_lot_size
98,Single Family,Hudson Bend,66164.15826591582,37444.5517578125
99,Single Family,Hutto,8438.795982485415,7856.46956
100,Single Family,Jarrell,20685.996158518465,15320.5237762
101,Single Family,Jonestown,49993.11992613875,18210.41015625
102,Single Family,Lago Vista,18023.254914136203,12189.67578125
103,Single Family,Lakeway,19988.970631753153,14973.775390625
104,Single Family,Leander,15664.57975736451,8024.18998366
105,Single Family,Liberty Hill,29411.23548644064,21777.9958099
106,Single Family,Lost Creek,81456.57456030636,60269.53515625
107,Single Family,Manchaca,36021.16236331261,24915.8203125
108,Single Family,Manor,7641.867647950239,6000.03515625
109,Single Family,Mustang Ridge,100975.36303125,76308.923828125
110,Single Family,Pflugerville,9508.461609149259,8834.826171875
111,Single Family,Point Venture,24046.187958809136,12050.91796875
112,Single Family,Rollingwood,19619.378032871464,17607.7275390625
113,Single Family,Round Rock,9785.886419191344,8022.22826587
114,Single Family,San Leanna,36637.399870841735,23142.6806640625
115,Single Family,Serenada,61262.40833955079,45411.1396189
116,Single Family,Shady Hollow,24464.419292191036,16851.962890625
117,Single Family,Sonterra,10251.401037988464,6249.99647351
118,Single Family,Sunset Valley,43243.3194467531,35412.365234375
119,Single Family,Taylor,14095.939501852374,8854.44308751
120,Single Family,The Hills,13918.509485705146,11965.2236328125
121,Single Family,Thrall,11409.6579330484,10002.387139899998
122,Single Family,Unincorporated,47469.084434606106,11108.8759765625
123,Single Family,Volente,73427.2904604559,49347.6025390625
124,Single Family,Webberville,147251.21394856772,122617.763671875
125,Single Family,Weir,92268.22313701925,41189.926802999995
126,Single Family,Wells Branch,7974.477340720431,7334.126953125
127,Single Family,West Lake Hills,48855.91455889994,43567.185546875
