,broad_zone,place,Percent of Land Used
227,Other Residential,Carrollton,2.125251574203111
228,Other Residential,Celina,0.15541784564014016
229,Other Residential,Coppell,0.4220078805325301
230,Other Residential,Copper Canyon,4.8372072615657
231,Other Residential,Corinth,5.564012243595775
232,Other Residential,Cross Roads,5.105613370102833
233,Other Residential,DISH,5.102800904369005
234,Other Residential,Dallas,0.022338955241403738
235,Other Residential,Denton,2.4958678440547963
236,Other Residential,Double Oak,3.489195424966528
237,Other Residential,Flower Mound,8.731102592671686
238,Other Residential,Fort Worth,0.1461615374926009
239,Other Residential,Frisco,3.8180465197240823
240,Other Residential,Hackberry,56.08411123612945
241,Other Residential,Hebron,0.6986938882864537
242,Other Residential,Hickory Creek,18.156752649579484
243,Other Residential,Highland Village,11.090641931519023
244,Other Residential,Justin,5.347496274460607
245,Other Residential,Krugerville,4.720571809839832
246,Other Residential,Krum,4.5478619411065395
247,Other Residential,Lake Dallas,11.414633630630147
248,Other Residential,Lakewood Village,29.330292807920234
249,Other Residential,Lantana,1.059419180323716
250,Other Residential,Lewisville,4.136105752118355
251,Other Residential,Little Elm,10.313026239766236
252,Other Residential,Northlake,0.35401445659672454
253,Other Residential,Oak Point,14.972867657885832
254,Other Residential,Paloma Creek,1.9142533038812737
255,Other Residential,Paloma Creek South,2.631345905922886
256,Other Residential,Pilot Point,5.917259011729695
257,Other Residential,Plano,0.7076174121349679
258,Other Residential,Ponder,1.4986407406628306
259,Other Residential,Prosper,1.0680785718231798
260,Other Residential,Providence Village,9.68235210773463
261,Other Residential,Roanoke,11.982110566117504
262,Other Residential,Sanger,2.3968168156897396
263,Other Residential,Savannah,8.536471644735874
264,Other Residential,Shady Shores,8.308817815943808
265,Other Residential,Southlake,0.20821522374163026
266,Other Residential,The Colony,6.357310284525846
267,Other Residential,Trophy Club,9.504149211734612
268,Other Residential,Unincorporated,0.7580344610424048
269,Other Residential,Westlake,0.07083214764372348
270,Single Family,Addison,10.395366755389377
271,Single Family,Allen,41.574987542000024
272,Single Family,Anna,11.204980653786919
273,Single Family,Argyle,20.60961324781438
274,Single Family,Arlington,47.76586447870478
275,Single Family,Aubrey,19.619695846943703
276,Single Family,Azle,42.35364175031525
277,Single Family,Balch Springs,38.40291648567661
278,Single Family,Bartonville,19.47526330515865
279,Single Family,Bedford,64.5161700571019
280,Single Family,Benbrook,44.419171431407314
281,Single Family,Blue Mound,62.694978988244834
282,Single Family,Blue Ridge,27.407265677077763
283,Single Family,Briar,36.78650061322669
284,Single Family,Burleson,63.84657581979351
285,Single Family,Carrollton,32.397796887543045
286,Single Family,Cedar Hill,30.622596075216457
287,Single Family,Celina,19.211416048974154
288,Single Family,Cockrell Hill,66.62759941622298
289,Single Family,Colleyville,73.05458591843077
290,Single Family,Combine,6.8699764182593865
291,Single Family,Coppell,35.4773572966712
292,Single Family,Copper Canyon,29.371281428742375
293,Single Family,Corinth,40.83840897019141
294,Single Family,Cross Roads,12.375235191307581
295,Single Family,Crowley,30.611863529701395
296,Single Family,DISH,13.123233220918781
297,Single Family,Dallas,32.27130831486964
298,Single Family,Dalworthington Gardens,70.41426139240642
299,Single Family,DeSoto,42.16815942242516
300,Single Family,Denton,15.270948367096043
301,Single Family,Double Oak,76.69396175281626
302,Single Family,Duncanville,59.047236707913896
303,Single Family,Edgecliff Village,67.85233485473097
304,Single Family,Euless,67.81283764061936
305,Single Family,Everman,50.67146989280682
306,Single Family,Fairview,45.757977186952985
307,Single Family,Farmers Branch,29.221312543100776
308,Single Family,Farmersville,22.107502651695178
309,Single Family,Ferris,0.27586523470752883
310,Single Family,Flower Mound,35.27142009271767
311,Single Family,Forest Hill,57.260291587041365
312,Single Family,Fort Worth,23.07244749515163
313,Single Family,Frisco,25.797477231559306
314,Single Family,Garland,42.33732635250618
315,Single Family,Glenn Heights,30.146653392585925
316,Single Family,Grand Prairie,21.098407233454815
317,Single Family,Grapevine,29.87260470204472
318,Single Family,Hackberry,26.531124493015707
319,Single Family,Haltom City,48.10753905477894
320,Single Family,Haslet,23.844851948616604
321,Single Family,Hebron,3.5694889688414437
322,Single Family,Hickory Creek,29.280065226116868
323,Single Family,Highland Park,74.01642612277315
324,Single Family,Highland Village,51.84175937234342
325,Single Family,Hurst,64.38901008396635
326,Single Family,Hutchins,6.138878709804642
327,Single Family,Irving,26.27944325503134
328,Single Family,Josephine,28.99926529828598
329,Single Family,Justin,29.053540035039017
330,Single Family,Keller,66.18025022774471
331,Single Family,Kennedale,40.5940964067795
332,Single Family,Krugerville,56.14301652850268
333,Single Family,Krum,39.77729753128726
334,Single Family,Lake Dallas,44.8787154948536
335,Single Family,Lake Worth,55.66890890978872
336,Single Family,Lakeside,53.06722025038635
337,Single Family,Lakewood Village,23.555136897400544
338,Single Family,Lancaster,17.914751686802415
339,Single Family,Lantana,46.5026892522999
340,Single Family,Lavon,39.656305683624964
341,Single Family,Lewisville,18.748626035655462
342,Single Family,Little Elm,28.75802745339383
343,Single Family,Lowry Crossing,48.71161364280463
344,Single Family,Lucas,45.867309371240204
