,broad_zone,place,Percent of Land Used
186,Single Family,Fresno,41.56225834379763
187,Single Family,Friendswood,28.175160005518613
188,Single Family,Fulshear,21.58686435732316
189,Single Family,Galena Park,24.845637428309153
190,Single Family,Greatwood,54.376529729028256
191,Single Family,Hedwig Village,54.86595865241839
192,Single Family,Highlands,46.58652297490175
193,Single Family,Hilshire Village,81.23550126479354
194,Single Family,Houston,27.08989855289002
195,Single Family,Humble,13.398951502577622
196,Single Family,Hunters Creek Village,89.93654317033788
197,Single Family,Jacinto City,49.921510136082894
198,Single Family,Jersey Village,41.749397048547685
199,Single Family,Katy,26.233988313048318
200,Single Family,Kendleton,14.084695483106167
201,Single Family,La Porte,33.550694316180554
202,Single Family,League City,14.176824879728034
203,Single Family,Magnolia,27.43121771835001
204,Single Family,Meadows Place,51.23669716663555
205,Single Family,Mission Bend,64.46748865640895
206,Single Family,Missouri City,30.098578936424303
207,Single Family,Montgomery,11.143400362524007
208,Single Family,Morgan's Point,27.97799762328684
209,Single Family,Nassau Bay,44.487415557829365
210,Single Family,Needville,37.87517926576927
211,Single Family,New Territory,47.14940374589078
212,Single Family,Oak Ridge North,56.00235300345222
213,Single Family,Orchard,44.25082368574305
214,Single Family,Panorama Village,76.3193535544669
215,Single Family,Pasadena,32.427364144646496
216,Single Family,Patton Village,56.2886357636667
217,Single Family,Pearland,26.638418419617977
218,Single Family,Pecan Grove,33.67021924515827
219,Single Family,Pinehurst,42.43514945162592
220,Single Family,Piney Point Village,85.46782080294807
221,Single Family,Pleak,52.62418355560826
222,Single Family,Porter Heights,33.41344273403822
223,Single Family,Richmond,30.636983046870697
224,Single Family,Roman Forest,37.43190455120852
225,Single Family,Rosenberg,12.577251848407887
226,Single Family,Seabrook,32.543081600055416
227,Single Family,Sheldon,11.049772291768807
228,Single Family,Shenandoah,22.76866867238627
229,Single Family,Shoreacres,70.31183862824767
230,Single Family,Sienna Plantation,27.400605742856126
231,Single Family,Simonton,38.36417883567806
232,Single Family,South Houston,47.50405397337724
233,Single Family,Southside Place,69.70286526978533
234,Single Family,Splendora,44.85218698836512
235,Single Family,Spring,33.54293376650375
236,Single Family,Spring Valley Village,75.21650027039013
237,Single Family,Stafford,16.93441579139528
238,Single Family,Stagecoach,64.33447705051309
239,Single Family,Sugar Land,28.310224669220318
240,Single Family,Taylor Lake Village,81.17199897645105
241,Single Family,The Woodlands,43.44760128551574
242,Single Family,Thompsons,3.3755790268866104
243,Single Family,Tomball,19.281192227254735
244,Single Family,Unincorporated,23.1293689390413
245,Single Family,Waller,11.977183255400515
246,Single Family,Webster,5.989802590522832
247,Single Family,West University Place,89.50373797965318
248,Single Family,Weston Lakes,54.52635948717245
249,Single Family,Willis,24.77306287552694
250,Single Family,Woodbranch,61.512386069588565
251,Single Family,Woodloch,62.0013297991941
