,broad_zone,place,mean_lot_size,median_lot_size
215,Single Family,Pasadena,8951.125621060215,7201.646995217432
216,Single Family,Patton Village,41213.26438001978,21893.379626600283
217,Single Family,Pearland,9460.983910314559,8421.85098678
218,Single Family,Pecan Grove,10789.714752348025,8368.23056785
219,Single Family,Pinehurst,49931.090454058445,24975.009398268434
220,Single Family,Piney Point Village,39351.823583126476,39416.558047856335
221,Single Family,Pleak,54463.14780733978,43397.858663499996
222,Single Family,Porter Heights,41056.47964460449,30710.039098014448
223,Single Family,Richmond,11452.021543866946,7519.122262815001
224,Single Family,Roman Forest,28296.948462697503,22530.31615480346
225,Single Family,Rosenberg,12702.284282812736,7678.51073711
226,Single Family,Seabrook,11801.885164335594,8624.558388032285
227,Single Family,Sheldon,13178.26752580397,6697.876123563362
228,Single Family,Shenandoah,9750.187510892096,9604.750407074145
229,Single Family,Shoreacres,19661.061747920783,13007.665801845142
230,Single Family,Sienna Plantation,17424.99301216101,9708.50874962
231,Single Family,Simonton,56767.691565727844,41392.3956188
232,Single Family,South Houston,8198.787553032373,7154.028336098965
233,Single Family,Southside Place,8163.535407157027,7687.183318895551
234,Single Family,Splendora,67417.91746777776,42349.803159188385
235,Single Family,Spring,9449.858682605925,7063.00646094854
236,Single Family,Spring Valley Village,12267.396520186756,10899.103354188695
237,Single Family,Stafford,9320.205190993916,7704.939023355
238,Single Family,Stagecoach,82479.40466804882,80326.44083317561
239,Single Family,Sugar Land,9954.491708768594,8790.133215664999
240,Single Family,Taylor Lake Village,14345.512189534687,11390.716182793603
241,Single Family,The Woodlands,11230.133963564396,9208.47349052145
242,Single Family,Thompsons,88783.2961473954,52660.9891585
243,Single Family,Tomball,23326.80062061108,10127.000098580342
244,Single Family,Unincorporated,21305.744063793918,7801.243418764843
245,Single Family,Waller,30460.52644046879,15171.834410107398
246,Single Family,Webster,10246.68464837344,7204.96428185886
247,Single Family,West University Place,6808.277977589195,6132.215311664053
248,Single Family,Weston Lakes,28178.04615187231,21821.410699699998
249,Single Family,Willis,17345.88633773771,8556.476305078362
250,Single Family,Woodbranch,38053.17795258445,26250.721595910596
251,Single Family,Woodloch,14672.38788665194,14729.945466955489
