,broad_zone,place,mean_lot_size,median_lot_size
198,Other,Rowlett,134711.71785574584,26895.15916825
199,Other,Royse City,345361.3003927763,22880.970077120448
200,Other,Sachse,123808.94954905543,20247.123267299998
201,Other,Saginaw,102831.7113772455,8580.0
202,Other,Sanger,520405.350769667,46218.9609375
203,Other,Sansom Park,19125.50495049505,9084.0
204,Other,Savannah,64715.571911703046,7684.869140625
205,Other,Seagoville,235029.40468964278,18753.703933700002
206,Other,Shady Shores,111796.32427598447,1857.599609375
207,Other,Southlake,99715.55323880668,22856.0
208,Other,St. Paul,130588.07357326713,57209.40952213997
209,Other,Sunnyvale,359251.41312304867,87126.6136652
210,Other,The Colony,226259.78933545158,36127.86767578125
211,Other,Trophy Club,179930.4055949147,38250.0
212,Other,Unincorporated,580282.589814914,96006.0
213,Other,University Park,42465.97066605666,9274.9318695
214,Other,Van Alstyne,188447.8625154246,188447.8625154246
215,Other,Watauga,45234.15404699739,7000.0
216,Other,Westlake,253223.62871460727,47024.0
217,Other,Westminster,278463.15859267185,61656.89816646597
218,Other,Weston,449759.31871462887,65130.888105620645
219,Other,Westover Hills,110778.72727272728,57262.0
220,Other,Westworth Village,75899.69653179191,8867.5
221,Other,White Settlement,46649.43993085566,10009.0
222,Other,Wilmer,372558.94239354966,24265.39100375
223,Other,Wylie,211377.23968665593,10582.512012780611
224,Other Residential,Argyle,46979.686527407306,10386.0146484375
225,Other Residential,Aubrey,11913.798799402573,9046.0771484375
226,Other Residential,Bartonville,42110.59147970091,12124.3505859375
227,Other Residential,Carrollton,18624.44070652554,5749.955078125
228,Other Residential,Celina,543168.74609375,543168.74609375
229,Other Residential,Coppell,29537.32989112367,5784.4658203125
230,Other Residential,Copper Canyon,87123.24555121534,60011.6337890625
231,Other Residential,Corinth,26904.654876234632,12463.49853515625
232,Other Residential,Cross Roads,64983.54355003724,48405.2724609375
233,Other Residential,DISH,58753.41400971286,49081.310546875
234,Other Residential,Dallas,70417.39778645836,6286.14697265625
235,Other Residential,Denton,21986.970979093483,7859.62548828125
236,Other Residential,Double Oak,45081.12784996813,40665.666015625
237,Other Residential,Flower Mound,34085.555874444624,11726.8369140625
238,Other Residential,Fort Worth,38287.51522741731,6296.595703125
239,Other Residential,Frisco,26315.146925921676,9018.1142578125
240,Other Residential,Hackberry,33191.16874009283,14522.97216796875
241,Other Residential,Hebron,10087.64802631579,7798.8994140625
242,Other Residential,Hickory Creek,29507.132866753476,18040.9765625
243,Other Residential,Highland Village,30289.00886169939,18969.775390625
244,Other Residential,Justin,22238.14364624025,7190.8896484375
245,Other Residential,Krugerville,24495.729415893555,20045.6171875
246,Other Residential,Krum,20202.571762547363,9301.9912109375
247,Other Residential,Lake Dallas,7342.896164899555,4748.3427734375
248,Other Residential,Lakewood Village,40787.37525576639,19588.900390625
249,Other Residential,Lantana,7284.086187900641,5671.05029296875
250,Other Residential,Lewisville,26877.41677578567,5972.67578125
251,Other Residential,Little Elm,28922.159403547255,9069.990234375
252,Other Residential,Northlake,15923.54956650153,9904.283203125
253,Other Residential,Oak Point,33379.798181847065,19728.6005859375
254,Other Residential,Paloma Creek,85266.1083984375,85266.1083984375
255,Other Residential,Paloma Creek South,7576.906126644737,5647.419921875
256,Other Residential,Pilot Point,16181.865599445093,9086.1083984375
257,Other Residential,Plano,76654.50597308438,8277.07470703125
258,Other Residential,Ponder,15273.24592141544,9652.931640625
259,Other Residential,Prosper,18346.484836002983,10193.61181640625
260,Other Residential,Providence Village,18242.184695136282,6334.1240234375
261,Other Residential,Roanoke,19912.24802629913,10658.1162109375
262,Other Residential,Sanger,12166.292306876645,8620.5791015625
263,Other Residential,Savannah,6574.468386542529,6322.4873046875
264,Other Residential,Shady Shores,16076.946557926229,5784.123046875
265,Other Residential,Southlake,28993.491891571968,15905.044921875
266,Other Residential,The Colony,17323.311213319863,8215.6826171875
267,Other Residential,Trophy Club,23719.472873883933,10290.5029296875
268,Other Residential,Unincorporated,41979.64462012816,24611.6982421875
269,Other Residential,Westlake,50995.83154296875,50995.83154296875
270,Single Family,Addison,7843.0570472128165,5899.479879875
271,Single Family,Allen,8973.133918081949,8058.7285070851285
272,Single Family,Anna,9830.281809698201,6980.383781426502
273,Single Family,Argyle,61008.782136140064,35118.59716796875
274,Single Family,Arlington,15129.050274623445,7808.0
275,Single Family,Aubrey,12623.115261691433,9949.0927734375
276,Single Family,Azle,17765.505690107966,11815.0
277,Single Family,Balch Springs,13479.51356725862,7713.73333687
278,Single Family,Bartonville,101191.56552005601,95176.259765625
279,Single Family,Bedford,9904.117995069844,9059.0
280,Single Family,Benbrook,12736.776201733648,10000.0
281,Single Family,Blue Mound,8174.145038167939,7844.5
282,Single Family,Blue Ridge,20405.0881507172,13396.341233823601
283,Single Family,Briar,52998.53901850362,34525.0
284,Single Family,Burleson,9405.369542438002,8276.0
285,Single Family,Carrollton,8633.267480797716,8087.89208984375
286,Single Family,Cedar Hill,16053.188630620523,8513.03770206
287,Single Family,Celina,24531.181630861647,9678.994083492227
288,Single Family,Cockrell Hill,10284.90301931771,9045.58045506
289,Single Family,Colleyville,24392.390399271982,19933.0
290,Single Family,Combine,117347.94422682824,87375.68204565
291,Single Family,Coppell,10416.616900746678,9000.010023
292,Single Family,Copper Canyon,89349.87755005865,53718.7724609375
293,Single Family,Corinth,11701.66640376137,8819.29541015625
294,Single Family,Cross Roads,67504.40936569942,47689.1171875
295,Single Family,Crowley,10336.047506954847,8308.0
296,Single Family,DISH,58849.591067023044,51886.2109375
297,Single Family,Dallas,10673.727282718912,8250.969000000001
298,Single Family,Dalworthington Gardens,40464.20028011205,24490.0
299,Single Family,DeSoto,14259.477658976208,10328.8544785
300,Single Family,Denton,12699.280275164656,9133.953125
301,Single Family,Double Oak,48749.18871776167,45695.8251953125
302,Single Family,Duncanville,13159.084974059946,10043.17201485
303,Single Family,Edgecliff Village,13078.980014803848,9496.0
304,Single Family,Euless,34225.624149347066,8276.0
305,Single Family,Everman,9999.749308245711,8330.0
306,Single Family,Fairview,36031.06658080794,13540.009962546652
307,Single Family,Farmers Branch,10789.845178255942,9419.46875
308,Single Family,Farmersville,19666.15232088798,12647.667279994326
309,Single Family,Ferris,58317.679941400005,58317.679941400005
310,Single Family,Flower Mound,15312.93328894199,9631.4169921875
311,Single Family,Forest Hill,11629.389442957918,8925.0
312,Single Family,Fort Worth,11159.816311374228,7000.0
313,Single Family,Frisco,9305.508156459407,8199.897254093596
314,Single Family,Garland,9118.617082424202,7940.85586125
315,Single Family,Glenn Heights,14093.116455908716,9074.344908935
316,Single Family,Grand Prairie,9463.938457234342,7899.4640125000005
317,Single Family,Grapevine,12029.168578767123,9240.0
318,Single Family,Hackberry,8145.838780912243,5854.7646484375
319,Single Family,Haltom City,10936.244058413668,8503.0
320,Single Family,Haslet,69039.9524590164,43560.0
321,Single Family,Hebron,12239.75245361328,9694.52392578125
322,Single Family,Hickory Creek,16500.22844037325,10439.880859375
323,Single Family,Highland Park,12496.439533274812,9482.2179
324,Single Family,Highland Village,14184.578474104417,12786.8388671875
325,Single Family,Hurst,10630.848665530948,9480.0
326,Single Family,Hutchins,18069.78296287551,9001.11717975
327,Single Family,Irving,9466.53371991616,8059.18127094
328,Single Family,Josephine,19583.035621657167,8325.672467788361
329,Single Family,Justin,13589.854431259611,10737.814453125
330,Single Family,Keller,19581.71369892628,12000.0
331,Single Family,Kennedale,24720.058351893094,12904.0
332,Single Family,Krugerville,32370.469719780816,26796.69287109375
333,Single Family,Krum,13908.347345287346,8686.140625
334,Single Family,Lake Dallas,10160.359747655071,7587.0078125
335,Single Family,Lake Worth,12652.811778290994,10199.0
336,Single Family,Lakeside,32601.998248686516,26928.0
337,Single Family,Lakewood Village,24567.23363095238,13500.22607421875
338,Single Family,Lancaster,13593.954301832659,8307.430984999999
339,Single Family,Lantana,8296.42401265178,7296.5224609375
340,Single Family,Lavon,17626.541929709416,7190.38968952076
341,Single Family,Lewisville,8486.943147326274,7604.4521484375
342,Single Family,Little Elm,8278.254614877058,7085.494140625
343,Single Family,Lowry Crossing,60722.88234575709,46105.76749259455
344,Single Family,Lucas,89136.99776392484,85163.49207836695
345,Single Family,Mansfield,13823.579011841568,9283.0
346,Single Family,McKinney,8617.665957317447,7097.231943417452
347,Single Family,Melissa,15737.035356865093,7008.1403805258215
348,Single Family,Mesquite,8826.490780008979,7595.0
349,Single Family,Murphy,15051.762719060898,11669.267700660359
350,Single Family,Nevada,37174.15423147604,42864.02868062835
351,Single Family,New Hope,53444.08878836946,44066.4031104312
352,Single Family,North Richland Hills,11744.693548387097,9600.0
353,Single Family,Northlake,64999.476462743645,50239.76904296875
354,Single Family,Oak Point,36182.86444722374,17877.85302734375
355,Single Family,Ovilla,95408.00100914917,76646.28149229998
356,Single Family,Paloma Creek,6200.886884695224,5782.703125
357,Single Family,Paloma Creek South,6506.492618270064,5884.7783203125
358,Single Family,Pantego,12066.087951807229,10801.5
359,Single Family,Parker,65893.41959260183,49869.060827577814
360,Single Family,Pecan Acres,47975.43366778149,41382.0
361,Single Family,Pelican Bay,11926.008992805755,8175.5
362,Single Family,Pilot Point,18247.61570966598,11931.181640625
363,Single Family,Plano,9565.397366436453,8861.50935750061
364,Single Family,Ponder,20964.961955664938,12119.998046875
365,Single Family,Princeton,11805.64795723987,6498.160152204014
366,Single Family,Prosper,20241.43815238204,12403.681493105416
367,Single Family,Providence Village,5514.346110757809,5375.7197265625
368,Single Family,Rendon,60190.624138750296,43560.0
369,Single Family,Reno,40641.0,40641.0
370,Single Family,Richardson,10158.519752615679,9249.97921375
371,Single Family,Richland Hills,14473.73126911315,12689.5
372,Single Family,River Oaks,12494.933333333332,9206.0
373,Single Family,Roanoke,10697.871072411232,8615.517578125
374,Single Family,Rowlett,11403.347878369714,8460.4181505
375,Single Family,Royse City,11018.194921423908,8748.212645931224
376,Single Family,Sachse,14530.608941818622,9600.86301038
377,Single Family,Saginaw,8103.602172049157,7500.0
378,Single Family,Sanger,12201.282929739491,8871.09521484375
379,Single Family,Sansom Park,12061.20979020979,12317.5
380,Single Family,Savannah,5559.222247956143,5302.66845703125
